host_guid,host_taxon,host_collection,host_group,parasite_record_count,parasite_taxon_count,latitude,longitude,mappable,min_year,max_year,host_url
MSB:Mamm:350514,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.74473699,-105.450454,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350514
MSB:Mamm:350515,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.73949202,-105.456984,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350515
MSB:Mamm:350517,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.74030799,-105.456499,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350517
MSB:Mamm:350520,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.73955899,-105.456983,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350520
MSB:Mamm:350521,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.74115398,-105.455586,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350521
MSB:Mamm:350522,Peromyscus maniculatus,MSB:Mamm,Mammal,2,2,36.73942102,-105.45694,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350522
MSB:Mamm:350524,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.74411396,-105.451314,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350524
MSB:Mamm:350420,Microtus longicaudus,MSB:Mamm,Mammal,1,1,36.74127803,-105.45527,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350420
MSB:Mamm:350422,Microtus longicaudus,MSB:Mamm,Mammal,1,1,36.74161004,-105.454824,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350422
MSB:Mamm:350424,Microtus longicaudus,MSB:Mamm,Mammal,1,1,36.74117602,-105.45557,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350424
MSB:Mamm:350426,Microtus longicaudus,MSB:Mamm,Mammal,1,1,36.74309196,-105.45275,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350426
MSB:Mamm:350427,Microtus longicaudus,MSB:Mamm,Mammal,1,1,36.744954,-105.450073,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350427
MSB:Mamm:350428,Microtus longicaudus,MSB:Mamm,Mammal,1,1,36.74280203,-105.45328,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350428
MSB:Mamm:350429,Microtus longicaudus,MSB:Mamm,Mammal,1,1,36.743071,-105.452806,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350429
