parasite_guid,parasite_name,parasite_genus,parasite_species,date,year,host_guid,host_taxon,host_collection,host_group,host_sex,host_age,location_in_host,parasite_life_stage,parasite_sex,individual_count,experimental,parasite_url,host_url,latitude,longitude,mappable
MSB:Para:15773,Echinococcus multilocularis,Echinococcus,Echinococcus multilocularis,18 March '60,,UAM:Mamm:12449,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15773,https://arctos.database.museum/guid/UAM:Mamm:12449,,,False
MSB:Para:15774,Taenia,Taenia,,18 March '60,,UAM:Mamm:12449,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15774,https://arctos.database.museum/guid/UAM:Mamm:12449,,,False
MSB:Para:15775,Toxascaris,Toxascaris,,18 March '60,,UAM:Mamm:12449,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15775,https://arctos.database.museum/guid/UAM:Mamm:12449,,,False
MSB:Para:15776,Uncinaria,Uncinaria,,18 March '60,,UAM:Mamm:12449,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15776,https://arctos.database.museum/guid/UAM:Mamm:12449,,,False
MSB:Para:15777,Taenia,Taenia,,17 March '60,,UAM:Mamm:12450,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15777,https://arctos.database.museum/guid/UAM:Mamm:12450,,,False
MSB:Para:15778,Toxascaris,Toxascaris,,17 March '60,,UAM:Mamm:12450,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15778,https://arctos.database.museum/guid/UAM:Mamm:12450,,,False
MSB:Para:15779,Taenia,Taenia,,14 March '60,,UAM:Mamm:12451,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15779,https://arctos.database.museum/guid/UAM:Mamm:12451,63.418802,-171.741111,True
MSB:Para:1578,Cestoda,,,Aug 27 '55,,MSB:Host:7487,Sorex,MSB:Host,Host collection,female,,small intestine,,,,,https://arctos.database.museum/guid/MSB:Para:1578,https://arctos.database.museum/guid/MSB:Host:7487,,,False
MSB:Para:15780,Toxascaris,Toxascaris,,14 March '60,,UAM:Mamm:12451,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15780,https://arctos.database.museum/guid/UAM:Mamm:12451,63.418802,-171.741111,True
MSB:Para:15781,Uncinaria,Uncinaria,,9 Dec '57,,UAM:Mamm:12269,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15781,https://arctos.database.museum/guid/UAM:Mamm:12269,,,False
MSB:Para:15782,Echinococcus multilocularis,Echinococcus,Echinococcus multilocularis,9 Dec '57,,UAM:Mamm:12270,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15782,https://arctos.database.museum/guid/UAM:Mamm:12270,63.681996,-170.482323,True
