host_guid,host_species,host_genus,part_name,part_id,part_remark,preservation,condition,part_count,parsed_flea_count,parsed_mite_count,parsed_tick_count,parsed_louse_count,parsed_nematode_count,parsed_cestode_count,parsed_trematode_count
KSB:Mamm:5173,Sorex arcticus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5173/PID33702634,,,unknown,1,,,,,,,
KSB:Mamm:5174,Blarina brevicauda,Blarina,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5174/PID33702637,,,unknown,1,,,,,,,
KSB:Mamm:5182,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5182/PID33702639,,,unknown,1,,,,,,,
KSB:Mamm:5200,Sorex arcticus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5200/PID33702640,,,unknown,1,,,,,,,
KSB:Mamm:5204,Sorex haydeni,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5204/PID33702638,,,unknown,1,,,,,,,
KSB:Mamm:5207,Sorex arcticus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5207/PID33702641,,,unknown,1,,,,,,,
KSB:Mamm:5212,Sorex arcticus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5212/PID33702646,,,unknown,1,,,,,,,
KSB:Mamm:5217,Blarina brevicauda,Blarina,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5217/PID33702630,,,unknown,1,,,,,,,
KSB:Mamm:5220,Sorex palustris,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5220/PID33702623,,,unknown,1,,,,,,,
KSB:Mamm:5221,Sorex palustris,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5221/PID33702625,,,unknown,1,,,,,,,
KSB:Mamm:5222,Sorex hoyi,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5222/PID33702624,,,unknown,1,,,,,,,
KSB:Mamm:5223,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5223/PID33702626,,,unknown,1,,,,,,,
KSB:Mamm:5224,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5224/PID33702627,,,unknown,1,,,,,,,
KSB:Mamm:5225,Sorex palustris,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5225/PID33702628,,,unknown,1,,,,,,,
KSB:Mamm:5226,Sorex monticolus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5226/PID33702629,,,unknown,1,,,,,,,
KSB:Mamm:5227,Blarina brevicauda,Blarina,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5227/PID33702631,,,unknown,1,,,,,,,
KSB:Mamm:5227,Blarina brevicauda,Blarina,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5227/PID33702632,,,unknown,1,,,,,,,
KSB:Mamm:5231,Sorex haydeni,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5231/PID33702692,,,unknown,1,,,,,,,
KSB:Mamm:5238,Sorex hoyi,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5238/PID33702645,,,unknown,1,,,,,,,
KSB:Mamm:5240,Sorex palustris,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5240/PID33702642,,,unknown,1,,,,,,,
KSB:Mamm:5243,Blarina brevicauda,Blarina,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5243/PID33702644,,,unknown,1,,,,,,,
KSB:Mamm:5264,Sorex palustris,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5264/PID33702647,,,unknown,1,,,,,,,
KSB:Mamm:5265,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5265/PID33702657,,,unknown,1,,,,,,,
KSB:Mamm:5272,Sorex hoyi,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5272/PID33702656,,,unknown,1,,,,,,,
KSB:Mamm:5273,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5273/PID33702655,,,unknown,1,,,,,,,
KSB:Mamm:5274,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5274/PID33702654,,,unknown,1,,,,,,,
