guid,species,genus,sex,life_stage,date,locality,latitude,longitude,mappable,parasite_status,detected,not_detected,parasite_parts_present,parasite_summary,flea_count,mite_count,tick_count,louse_count,nematode_count,cestode_count,trematode_count,arctos_url
KSB:Mamm:1588,Canis latrans,Canis,male,adult,26 Feb. 2023,"USA, MO; McDonald County",36.633,-94.341,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1588
KSB:Mamm:1589,Canis latrans,Canis,male,adult,14 Feb. 2022,"USA, KS; Jefferson County",39.35417,-95.58474,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1589
KSB:Mamm:1590,Canis latrans,Canis,male,adult,24 Feb. 2023,"USA, KS; Lyon County",38.46405,-96.12141,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1590
KSB:Mamm:1591,Canis latrans,Canis,female,adult,29 Jan. 2023,"USA, KS; Kiowa County",37.513,-99.241,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1591
KSB:Mamm:1592,Canis latrans,Canis,male,adult,28 Jan. 2023,"USA, KS; Neosho County",37.539,-95.313,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1592
KSB:Mamm:1593,Peromyscus leucopus,Peromyscus,male,,2024-05-28,"USA, KS; KPBS; 20C",39.06964,-96.5634,True,mixed screening,ectoparasite: flea; ectoparasite: tick,endoparasite,ectoparasite,"ectoparasite: 2 fleas, 3 ticks",2.0,,3.0,,,,,https://arctos.database.museum/guid/KSB:Mamm:1593
KSB:Mamm:1594,Canis latrans,Canis,female,adult,29 Jan. 2023,"USA, KS; Kiowa County",37.513,-99.241,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1594
KSB:Mamm:1595,Peromyscus maniculatus,Peromyscus,male,adult,2024-05-28,"USA, KS; KPBS, 20B",39.07274,-96.57581,True,not recorded,,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1595
KSB:Mamm:1596,Canis latrans,Canis,female,adult,23 June 2022,"USA, KS; Morris County",38.775952,-96.47847,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1596
KSB:Mamm:1597,Canis latrans,Canis,male,adult,24 Feb. 2023,"USA, MO; Howard",39.139,-92.683,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1597
